genus,species,accession
Anaplasma,centrale,GCF_000024505.1
Anaplasma,marginale,GCF_000011945.1
Anaplasma,marginale,GCF_000020305.1
Anaplasma,marginale,GCF_000172475.1
Anaplasma,marginale,GCF_000172495.1
Anaplasma,marginale,GCF_000172515.1
Anaplasma,marginale,GCF_000215485.1
Anaplasma,marginale,GCF_000215505.1
Anaplasma,marginale,GCF_000215525.1
Anaplasma,marginale,GCF_000215545.1
Anaplasma,marginale,GCF_000215565.1
Anaplasma,marginale,GCF_000215585.1
Anaplasma,marginale,GCF_000215605.1
Anaplasma,marginale,GCF_000495495.1
Anaplasma,marginale,GCF_000495535.1
Anaplasma,marginale,GCF_002849365.1
Anaplasma,marginale,GCF_003331125.1
Anaplasma,marginale,GCF_003515675.1
Anaplasma,marginale,GCF_003515735.1
Anaplasma,marginale,GCF_008274665.1
Anaplasma,marginale,GCF_008690255.1
Anaplasma,marginale,GCF_008690265.1
Anaplasma,marginale,GCF_008801275.1
Anaplasma,marginale,GCF_008801305.1
Anaplasma,marginale,GCF_008801325.1
Anaplasma,ovis,GCF_002214625.1
Anaplasma,ovis,GCF_002849345.1
Anaplasma,phagocytophilum,GCA_900088675.2
Anaplasma,phagocytophilum,GCF_000013125.1
Anaplasma,phagocytophilum,GCF_000439755.1
Anaplasma,phagocytophilum,GCF_000439775.1
Anaplasma,phagocytophilum,GCF_000439795.1
Anaplasma,phagocytophilum,GCF_000478425.1
Anaplasma,phagocytophilum,GCF_000478445.1
Anaplasma,phagocytophilum,GCF_000689615.1
Anaplasma,phagocytophilum,GCF_000689635.2
Anaplasma,phagocytophilum,GCF_000689655.1
Anaplasma,phagocytophilum,GCF_000964685.1
Anaplasma,phagocytophilum,GCF_000964725.1
Anaplasma,phagocytophilum,GCF_000964745.1
Anaplasma,phagocytophilum,GCF_000964785.1
Anaplasma,phagocytophilum,GCF_000964915.1
Anaplasma,phagocytophilum,GCF_000964935.1
Anaplasma,phagocytophilum,GCF_000964945.1
Anaplasma,phagocytophilum,GCF_000964985.1
Anaplasma,phagocytophilum,GCF_000965125.1
Anaplasma,phagocytophilum,GCF_000968455.1
Anaplasma,phagocytophilum,GCF_000968465.1
Anaplasma,phagocytophilum,GCF_002849375.1
Anaplasma,phagocytophilum,GCF_900000025.1
Anaplasma,phagocytophilum,GCF_900078505.1
Anaplasma,phagocytophilum,GCF_900088605.1
Anaplasma,phagocytophilum,GCF_900088615.1
Anaplasma,phagocytophilum,GCF_900088625.1
Anaplasma,phagocytophilum,GCF_900088645.1
Anaplasma,phagocytophilum,GCF_900088665.2
