genus,species,accession
Ascogregarina,taiwanensis,GCA_000172235.1
Babesia,bigemina,GCF_000981445.1
Babesia,bovis,GCF_000165395.1
Babesia,divergens,GCA_001077455.2
Babesia,microti,GCF_000691945.2
Babesia,ovata,GCF_002897235.1
Babesia,sp,GCF_002095265.1
Besnoitia,besnoiti,GCF_002563875.1
Cryptospridium,andersoni,GCA_001865355.1
Cryptospridium,baileyi,GCA_001593455.1
Cryptospridium,bovis,GCA_009768925.1
Cryptospridium,cuniculus,GCA_004337835.1
Cryptospridium,hominis,GCA_000006425.2
Cryptospridium,meleagridis,GCA_001593445.1
Cryptospridium,muris,GCF_000006515.1
Cryptospridium,parvum,GCF_000165345.1
Cryptospridium,ryanae,GCA_009792415.1
Cryptospridium,sp,GCA_004936735.1
Cryptospridium,tyzzeri,GCA_007210665.1
Cryptospridium,ubiquitum,GCF_001865345.1
Cryptospridium,viatorum,GCA_004337795.1
Cyclospra,cayetanensis,GCF_002999335.1
Cystoisospra,suis,GCA_002600585.1
Eimeria,acervulina,GCF_000499425.1
Eimeria,brunetti,GCA_000499725.1
Eimeria,falciformis,GCA_002271815.1
Eimeria,maxima,GCF_000499605.1
Eimeria,mitis,GCA_000499745.2
Eimeria,necatrix,GCF_000499385.1
Eimeria,nieschulzi,GCA_000826945.1
Eimeria,praecox,GCA_000499445.1
Eimeria,tenella,GCF_000499545.2
Gregarina,niphandrodes,GCF_000223845.1
Haemoproteus,tartakovskyi,GCA_001625125.1
Hammondia,hammondi,GCA_000447165.1
Neospra,caninum,GCF_000208865.1
Nephromyces,sp,GCA_004523865.1
Plasmodium,berghei,GCA_900002375.2
Plasmodium,brasilianum,GCA_001885115.2
Plasmodium,chabaudi,GCA_900002335.2
Plasmodium,coatneyi,GCF_001680005.1
Plasmodium,cynomolgi,GCF_000321355.1
Plasmodium,falciparum,GCA_000002765.3
Plasmodium,fragile,GCF_000956335.1
Plasmodium,gaboni,GCF_001602025.1
Plasmodium,gallinaceum,GCF_900005855.1
Plasmodium,gonderi,GCF_002157705.1
Plasmodium,inui,GCF_000524495.1
Plasmodium,knowlesi,GCF_000006355.1
Plasmodium,malariae,GCF_900090045.1
Plasmodium,ovale,GCA_900090025.2
Plasmodium,reichenowi,GCF_001601855.1
Plasmodium,relictum,GCF_900005765.1
Plasmodium,sp,GCF_900097015.1
Plasmodium,vinckei,GCF_000709005.1
Plasmodium,vivax,GCF_000002415.2
Plasmodium,yoelii,GCA_900002385.2
Sarcocystis,neurona,GCA_000727475.1
Theileria,annulata,GCF_000003225.3
Theileria,equi,GCF_000342415.1
Theileria,orientalis,GCF_000740895.1
Theileria,parva,GCF_000165365.1
Toxoplasma,gondii,GCF_000006565.2
