genus,species,accession
Bacillus,albus,GCF_001884185.1
Bacillus,albus,GCF_003966295.1
Bacillus,albus,GCF_004116025.1
Bacillus,albus,GCF_004116035.1
Bacillus,albus,GCF_004116065.1
Bacillus,albus,GCF_004116085.1
Bacillus,albus,GCF_004116415.1
Bacillus,albus,GCF_004153665.1
Bacillus,albus,GCF_009740005.1
Bacillus,anthracis,GCF_000008165
Bacillus,anthracis,GCF_000558965.1
Bacillus,anthracis,GCF_000559005.1
Bacillus,anthracis,GCF_000697555.1
Bacillus,anthracis,GCF_000742875.1
Bacillus,anthracis,GCF_000783055.1
Bacillus,anthracis,GCF_001883895.1
Bacillus,anthracis,GCF_002233635.1
Bacillus,anthracis,GCF_002525695.1
Bacillus,anthracis,GCF_002525705.1
Bacillus,bombysepticus,GCF_000831065.1
Bacillus,cereus,GCF_000161315.1
Bacillus,cereus,GCF_000290795.1
Bacillus,cereus,GCF_000291075.1
Bacillus,cereus,GCF_001583875.1
Bacillus,cereus,GCF_001584025.1
Bacillus,cereus,GCF_001683695.1
Bacillus,cereus,GCF_002530565.1
Bacillus,cereus,GCF_002552015.1
Bacillus,cereus,GCF_002560715.1
Bacillus,cereus,GCF_002565765.1
Bacillus,cytotoxicus,GCF_000017425.1
Bacillus,cytotoxicus,GCF_001050335.1
Bacillus,cytotoxicus,GCF_002250885.2
Bacillus,cytotoxicus,GCF_002250905.2
Bacillus,cytotoxicus,GCF_002250925.2
Bacillus,cytotoxicus,GCF_002250945.2
Bacillus,cytotoxicus,GCF_002250965.2
Bacillus,cytotoxicus,GCF_002251005.2
Bacillus,cytotoxicus,GCF_002251025.2
Bacillus,cytotoxicus,GCF_002251045.2
Bacillus,gaemokensis,GCF_000712615.1
Bacillus,gaemokensis,GCF_001590835.1
Bacillus,luti,GCF_001884105.1
Bacillus,luti,GCF_008923665.1
Bacillus,luti,GCF_009739945.1
Bacillus,manliponensis,GCF_000712595.1
Bacillus,mobilis,GCF_001884045.1
Bacillus,mobilis,GCF_003612955.1
Bacillus,mobilis,GCF_007681185.1
Bacillus,mobilis,GCF_007681195.1
Bacillus,mobilis,GCF_007682195.1
Bacillus,mycoides,GCF_000018825.1
Bacillus,mycoides,GCF_000290695.1
Bacillus,mycoides,GCF_000517985.1
Bacillus,mycoides,GCF_001044935.1
Bacillus,mycoides,GCF_001541985.1
Bacillus,mycoides,GCF_001757825.1
Bacillus,mycoides,GCF_001757915.1
Bacillus,mycoides,GCF_001757985.1
Bacillus,mycoides,GCF_002014505.1
Bacillus,mycoides,GCF_002014695.1
Bacillus,nitratireducens,GCF_001884135.1
Bacillus,nitratireducens,GCF_007676595.1
Bacillus,nitratireducens,GCF_007676605.1
Bacillus,nitratireducens,GCF_007681065.1
Bacillus,nitratireducens,GCF_007681365.1
Bacillus,nitratireducens,GCF_007682355.1
Bacillus,pacificus,GCA_009884315.1
Bacillus,pacificus,GCF_001884025.1
Bacillus,pacificus,GCF_003858675.1
Bacillus,pacificus,GCF_006349595.1
Bacillus,paramycoides,GCF_001884235.1
Bacillus,paramycoides,GCF_007682005.1
Bacillus,paranthracis,GCA_009648955.1
Bacillus,paranthracis,GCA_009873395.1
Bacillus,paranthracis,GCA_009884335.1
Bacillus,paranthracis,GCF_001883995.1
Bacillus,paranthracis,GCF_004307985.1
Bacillus,paranthracis,GCF_005117095.1
Bacillus,paranthracis,GCF_005848985.1
Bacillus,paranthracis,GCF_007682135.1
Bacillus,paranthracis,GCF_007682155.1
Bacillus,paranthracis,GCF_009498675.1
Bacillus,paranthracis,GCF_009799965.1
Bacillus,proteolyticus,GCF_001884065.1
Bacillus,pseudomycoides,GCF_000161415.1
Bacillus,pseudomycoides,GCF_000161435.1
Bacillus,pseudomycoides,GCF_000746965.1
Bacillus,pseudomycoides,GCF_002550095.1
Bacillus,pseudomycoides,GCF_002555615.1
Bacillus,pseudomycoides,GCF_002555685.1
Bacillus,pseudomycoides,GCF_002555995.1
Bacillus,pseudomycoides,GCF_002556205.1
Bacillus,pseudomycoides,GCF_002557395.1
Bacillus,pseudomycoides,GCF_002569075.1
Bacillus,thuringiensis,GCF_000161735.1
Bacillus,thuringiensis,GCF_000710255.1
Bacillus,thuringiensis,GCF_001402735.1
Bacillus,thuringiensis,GCF_001675515.1
Bacillus,thuringiensis,GCF_002148135.1
Bacillus,thuringiensis,GCF_002551895.1
Bacillus,thuringiensis,GCF_002559825.1
Bacillus,thuringiensis,GCF_002562665.1
Bacillus,thuringiensis,GCF_002564505.1
Bacillus,thuringiensis,GCF_002570925.1
Bacillus,toyonensis,GCA_009799785.1
Bacillus,toyonensis,GCF_002550925.1
Bacillus,toyonensis,GCF_002551965.1
Bacillus,toyonensis,GCF_002554865.1
Bacillus,toyonensis,GCF_002555905.1
Bacillus,toyonensis,GCF_002556675.1
Bacillus,toyonensis,GCF_002570155.1
Bacillus,toyonensis,GCF_002580355.1
Bacillus,toyonensis,GCF_002581325.1
Bacillus,toyonensis,GCF_002581955.1
Bacillus,tropicus,GCF_001884035.1
Bacillus,tropicus,GCF_006349625.1
Bacillus,tropicus,GCF_006349645.1
Bacillus,tropicus,GCF_006457285.1
Bacillus,tropicus,GCF_007672275.1
Bacillus,tropicus,GCF_007676425.1
Bacillus,tropicus,GCF_007682035.1
Bacillus,tropicus,GCF_007682405.1
Bacillus,wiedmannii,GCF_000160955.1
Bacillus,wiedmannii,GCF_001645395.1
Bacillus,wiedmannii,GCF_002014635.1
Bacillus,wiedmannii,GCF_002555555.1
Bacillus,wiedmannii,GCF_002555735.1
Bacillus,wiedmannii,GCF_002555855.1
Bacillus,wiedmannii,GCF_002555945.1
Bacillus,wiedmannii,GCF_002556175.1
Bacillus,wiedmannii,GCF_002556405.1
Bacillus,wiedmannii,GCF_002569595.1
