genus,species,accession
Bartonella,alsatica,GCF_000280015.1
Bartonella,ancashensis,GCF_001281405.1
Bartonella,apis,GCF_002007565.1
Bartonella,australis,GCF_000341355.1
Bartonella,bacilliformis,GCF_000015445.1
Bartonella,birtlesii,GCF_000273375.1
Bartonella,bovis,GCF_000384965.1
Bartonella,clarridgeiae,GCF_000253015.1
Bartonella,doshiae,GCF_000278155.1
Bartonella,elizabethae,GCF_900638615.1
Bartonella,florencae,GCF_000312525.1
Bartonella,grahamii,GCF_000022725.1
Bartonella,henselae,GCF_000046705.1
Bartonella,koehlerae,GCF_000706625.1
Bartonella,massiliensis,GCF_902150025.1
Bartonella,mastomydis,GCF_900185775.1
Bartonella,melophagi,GCF_000278255.1
Bartonella,queenslandensis,GCF_000312585.1
Bartonella,quintana,GCF_000046685.1
Bartonella,rattaustraliani,GCF_000312565.1
Bartonella,rattimassiliensis,GCF_000278215.1
Bartonella,rochalimae,GCF_000706645.1
Bartonella,schoenbuchensis,GCF_002022685.1
Bartonella,senegalensis,GCF_000312545.1
Bartonella,sp,GCF_003606325.2
Bartonella,tamiae,GCF_000279995.1
Bartonella,taylorii,GCF_000278295.1
Bartonella,tribocorum,GCF_000196435.1
Bartonella,vinsonii,GCF_000341385.1
Bartonella,washoeensis,GCF_000278135.1
