genus,species,accession
Borrelia,anserina,GCF_001936255.1
Borrelia,coriaceae,GCF_000568755.1
Borrelia,crocidurae,GCF_000259345.1
Borrelia,duttonii,GCF_000019685.1
Borrelia,hermsii,GCF_001660005.1
Borrelia,hispnica,GCF_000500065.1
Borrelia,miyamotoi,GCF_000445425.4
Borrelia,parkeri,GCF_000512145.1
Borrelia,persica,GCF_000500045.1
Borrelia,recurrentis,GCF_000019705.1
Borrelia,turcica,GCF_003606285.1
Borrelia,turicatae,GCF_000012085.2
Borreliella,afzelii,GCA_000502195.1
Borreliella,burgdorferi,GCF_000502155.1
Borreliella,garinii,GCF_000501735.1
