genus,species,accession
Burkholderia,agricolaris,GCF_009455635.1
Burkholderia,ambifaria,GCF_000959545.1
Burkholderia,anthina,GCF_001547525.1
Burkholderia,bonniea,GCF_009455625.1
Burkholderia,catarinensis,GCF_001883705.1
Burkholderia,cenocepacia,GCF_001999785.1
Burkholderia,cepacia,GCF_001411495.1
Burkholderia,contaminans,GCF_001029145.1
Burkholderia,diffusa,GCF_001718315.1
Burkholderia,dolosa,GCF_003813045.1
Burkholderia,gladioli,GCF_000959725.1
Burkholderia,glumae,GCF_000960995.1
Burkholderia,hayleyella,GCF_009455685.1
Burkholderia,humptydooensis,GCF_001462435.1
Burkholderia,insecticola,GCF_000402035.1
Burkholderia,lata,GCF_000012945.1
Burkholderia,latens,GCF_001718795.1
Burkholderia,mallei,GCF_000011705.1
Burkholderia,metallica,GCF_001718555.1
Burkholderia,multivorans,GCF_000959525.1
Burkholderia,novacaledonica,GCF_900258035.1
Burkholderia,oklahomensis,GCF_000959365.1
Burkholderia,paludis,GCF_000732615.1
Burkholderia,plantarii,GCF_001411805.1
Burkholderia,pseudomallei,GCF_000011545.1
Burkholderia,pseudomultivorans,GCF_001718415.1
Burkholderia,puraquae,GCF_002099195.1
Burkholderia,pyrrocinia,GCF_001028665.1
Burkholderia,reimsis,GCF_003294055.1
Burkholderia,seminalis,GCF_001718535.1
Burkholderia,singularis,GCF_900176645.1
Burkholderia,sp,GCF_005280735.1
Burkholderia,stabilis,GCF_001742165.1
Burkholderia,stagnalis,GCF_001718955.1
Burkholderia,territorii,GCF_001718335.1
Burkholderia,thailandensis,GCF_003568605.1
Burkholderia,ubonensis,GCF_000959245.1
Burkholderia,vietnamiensis,GCF_000959445.1
