genus,species,accession
Campylobacter,armoricus,GCF_009036385.1
Campylobacter,avium,GCF_002238335.1
Campylobacter,blaseri,GCF_003015205.1
Campylobacter,coli,GCF_002024185.1
Campylobacter,concisus,GCF_001298465.1
Campylobacter,corcagiensis,GCF_000597805.1
Campylobacter,cuniculorum,GCF_002104335.1
Campylobacter,curvus,GCF_000017465.2
Campylobacter,fetus,GCF_008271385.1
Campylobacter,geochelonis,GCF_900065885.1
Campylobacter,gracilis,GCF_001190745.1
Campylobacter,helveticus,GCF_002080395.1
Campylobacter,hepaticus,GCF_001687475.2
Campylobacter,hominis,GCF_000017585.1
Campylobacter,hyointestinalis,GCF_001643955.1
Campylobacter,iguaniorum,GCF_000736415.1
Campylobacter,insulaenigrae,GCF_000816185.1
Campylobacter,jejuni,GCF_000009085.1
Campylobacter,lanienae,GCF_002139935.1
Campylobacter,lari,GCF_000019205.1
Campylobacter,ornithocola,GCF_001705345.1
Campylobacter,peloridis,GCF_000816785.1
Campylobacter,pinnipediorum,GCF_002021925.1
Campylobacter,rectus,GCF_000174175.1
Campylobacter,showae,GCF_000313615.1
Campylobacter,sp,GCF_002139895.1
Campylobacter,sptorum,GCF_002220735.1
Campylobacter,subantarcticus,GCF_000816305.1
Campylobacter,troglodytis,GCF_006864425.1
Campylobacter,upsaliensis,GCF_000620965.1
Campylobacter,ureolyticus,GCF_001190755.1
Campylobacter,volucris,GCF_000816345.1
