genus,species,accession
Coxiella,burnetii,GCF_000007765.2
Coxiella,burnetii,GCF_000017105.1
Coxiella,burnetii,GCF_001572745.1
Coxiella,burnetii,GCF_004006195.1
Coxiella,burnetii,GCF_000019885.1
Coxiella,burnetii,GCF_000168875.3
Coxiella,burnetii,GCF_000018745.1
Coxiella,burnetii,GCF_000019865.1
Coxiella,burnetii,GCF_000367725.2
Coxiella,burnetii,GCF_004087735.1
Coxiella,burnetii,GCF_002109345.1
Coxiella,burnetii,GCF_002094935.1
Coxiella,burnetii,GCF_005280755.1
Coxiella,burnetii,GCF_002634005.1
Coxiella,burnetii,GCF_002633985.1
Coxiella,burnetii,GCF_002633965.1
Coxiella,burnetii,GCF_002633945.1
Coxiella,burnetii,GCF_002633885.1
Coxiella,burnetii,GCF_002634025.1
Coxiella,burnetii,GCF_002634045.1
Coxiella,burnetii,GCF_000767035.1
Coxiella,burnetii,GCF_002634065.1
Coxiella,burnetii,GCF_002633925.1
Coxiella,burnetii,GCF_002633905.1
Coxiella,burnetii,GCF_001572765.1
Coxiella,burnetii,GCF_002634085.1
Coxiella,burnetii,GCF_000612785.1
Coxiella,burnetii,GCF_000826165.1
Coxiella,burnetii,GCF_000820465.1
Coxiella,burnetii,GCF_000967075.1
Coxiella,burnetii,GCF_000470495.1
Coxiella,burnetii,GCF_002247545.1
Coxiella,burnetii,GCF_002247155.1
Coxiella,burnetii,GCF_002896835.1
Coxiella,burnetii,GCF_000613025.1
Coxiella,burnetii,GCF_000723305.1
Coxiella,burnetii,GCF_002924395.1
Coxiella,burnetii,GCF_002247185.1
Coxiella,burnetii,GCF_002896735.1
Coxiella,burnetii,GCF_002896755.1
Coxiella,burnetii,GCF_002896775.1
Coxiella,burnetii,GCF_002247265.1
Coxiella,burnetii,GCF_002247205.1
Coxiella,burnetii,GCF_002924305.1
Coxiella,burnetii,GCF_002924345.1
Coxiella,burnetii,GCF_002924425.1
Coxiella,burnetii,GCF_000723245.1
Coxiella,burnetii,GCF_002247285.1
Coxiella,burnetii,GCF_002247305.1
Coxiella,burnetii,GCF_002247335.1
Coxiella,burnetii,GCF_002249845.1
Coxiella,burnetii,GCF_002924325.1
Coxiella,burnetii,GCF_003849965.1
Coxiella,burnetii,GCF_002247225.1
Coxiella,burnetii,GCF_002896795.1
Coxiella,burnetii,GCF_002924385.1
Coxiella,burnetii,GCF_000751935.2
Coxiella,burnetii,GCF_000820825.1
Coxiella,burnetii,GCF_000756325.1
Coxiella,burnetii,GCF_002591355.1
Coxiella,burnetii,GCF_000169495.2
Coxiella,burnetii,GCF_000723285.1
Coxiella,burnetii,GCF_002896815.1
Coxiella,burnetii,GCF_003849885.1
Coxiella,burnetii,GCF_003849875.1
Coxiella,burnetii,GCF_003849785.1
Coxiella,burnetii,GCF_000723265.1
Coxiella,burnetii,GCF_000300315.1
Coxiella,burnetii,GCA_000359545.5
