genus,species,accession
Asprgillus,aculeatinus,GCF_003184765.1
Asprgillus,aculeatus,GCF_001890905.1
Asprgillus,aff,GCA_001931935.1
Asprgillus,albertensis,GCA_009193605.1
Asprgillus,alliaceus,GCF_009176365.1
Asprgillus,amoenus,GCA_009812435.1
Asprgillus,arachidicola,GCA_009193545.1
Asprgillus,avenaceus,GCA_009193465.1
Asprgillus,awamori,GCA_003850985.1
Asprgillus,bertholletius,GCA_009193595.1
Asprgillus,bombycis,GCF_001792695.1
Asprgillus,brasiliensis,GCA_001889945.1
Asprgillus,brunneoviolaceus,GCF_003184695.1
Asprgillus,caelatus,GCF_009193585.1
Asprgillus,calidoustus,GCA_001511075.1
Asprgillus,campestris,GCF_002847485.1
Asprgillus,candidus,GCF_002847045.1
Asprgillus,carbonarius,GCA_001990825.1
Asprgillus,cejpii,GCA_004769165.1
Asprgillus,chevalieri,GCA_001599875.1
Asprgillus,clavatus,GCF_000002715.2
Asprgillus,coremiiformis,GCA_009193565.1
Asprgillus,costaricaensis,GCF_003184835.1
Asprgillus,cristatus,GCA_001693355.1
Asprgillus,ellipticus,GCA_003184645.1
Asprgillus,eucalypticola,GCF_003184535.1
Asprgillus,fijiensis,GCA_003184825.1
Asprgillus,fischeri,GCF_000149645.1
Asprgillus,flavus,GCF_000006275.2
Asprgillus,fumigatus,GCF_000002655.1
Asprgillus,glaucus,GCF_001890805.1
Asprgillus,hancockii,GCA_001696595.1
Asprgillus,heteromorphus,GCF_003184545.1
Asprgillus,homomorphus,GCF_003184865.1
Asprgillus,ibericus,GCF_003184845.1
Asprgillus,indologenus,GCA_003184685.1
Asprgillus,japonicus,GCF_003184785.1
Asprgillus,kawachii,GCA_000239835.2
Asprgillus,lentulus,GCA_001445615.1
Asprgillus,leporis,GCA_009176345.1
Asprgillus,luchuensis,GCA_001890685.1
Asprgillus,minisclerotigenes,GCA_009176455.1
Asprgillus,mulundensis,GCF_003369625.1
Asprgillus,neoellipticus,GCA_003116565.1
Asprgillus,neoniger,GCF_003184625.1
Asprgillus,nidulans,GCF_000149205.2
Asprgillus,niger,GCF_000002855.3
Asprgillus,nomius,GCF_001204775.1
Asprgillus,novofumigatus,GCF_002847465.1
Asprgillus,novoparasiticus,GCA_009176405.1
Asprgillus,ochraceoroseus,GCA_002846915.2
Asprgillus,ochraceus,GCA_004849945.1
Asprgillus,olivimuriae,GCA_003719415.1
Asprgillus,oryzae,GCF_000184455.2
Asprgillus,parasiticus,GCA_009176385.1
Asprgillus,persii,GCA_002215965.1
Asprgillus,phoenicis,GCA_003344505.1
Asprgillus,piperis,GCF_003184755.1
Asprgillus,pseudocaelatus,GCA_009193665.1
Asprgillus,pseudonomius,GCF_009193645.1
Asprgillus,pseudotamarii,GCF_009193445.1
Asprgillus,pseudoterreus,GCA_002927005.1
Asprgillus,rambellii,GCA_000986645.1
Asprgillus,ruber,GCA_000600275.1
Asprgillus,saccharolyticus,GCF_003184585.1
Asprgillus,sclerotialis,GCA_003589665.1
Asprgillus,sclerotiicarbonarius,GCA_003184635.1
Asprgillus,sclerotioniger,GCF_003184525.1
Asprgillus,sclerotiorum,GCA_000530345.1
Asprgillus,sergii,GCA_009193525.1
Asprgillus,sojae,GCA_008274985.1
Asprgillus,sp,GCA_001044295.1
Asprgillus,spnulosprus,GCA_003574815.1
Asprgillus,steynii,GCF_002849105.1
Asprgillus,sydowii,GCA_001890705.1
Asprgillus,taichungensis,GCA_002850765.1
