genus,species,accession
Francisella,adeliensis,GCF_003290445.1
Francisella,frigiditurris,GCF_001880225.1
Francisella,halioticida,GCF_002211785.1
Francisella,hispniensis,GCF_001885235.1
Francisella,marina,GCF_008369785.1
Francisella,noatunensis,GCF_008330245.1
Francisella,opportunistica,GCF_003347135.1
Francisella,persica,GCF_001653955.1
Francisella,philomiragia,GCF_000019285.1
Francisella,salina,GCF_000219045.1
Francisella,sp,GCF_000764555.1
Francisella,tularensis,GCF_000008985.1
Francisella,uliginis,GCF_001895265.1
