genus,species,accession
Dibothriocephalus,latus,GCA_900617775.1
Echinococcus,canadensis,GCA_900004735.1
Echinococcus,granulosus,GCF_000524195.1
Echinococcus,multilocularis,GCA_000469725.3
Echinococcus,oligarthrus,GCA_900683695.1
Hydatigera,taeniaeformis,GCA_900622495.1
Hymenolepis,diminuta,GCA_900708905.1
Hymenolepis,microstoma,GCA_000469805.3
Mesocestoides,corti,GCA_900604375.1
Rodentolepis,nana,GCA_900617975.1
Schistocephalus,solidus,GCA_900618435.1
Sparganum,proliferum,GCA_902702955.1
Spirometra,erinaceieuropaei,GCA_000951995.1
Taenia,asiatica,GCA_001693035.2
Taenia,multiceps,GCA_001923025.3
Taenia,saginata,GCA_001693075.2
Taenia,solium,GCA_001870725.1
