genus,species,accession
Chlamydia,abortus,GCF_002895085.1
Chlamydia,avium,GCF_000583875.1
Chlamydia,buteonis,GCF_900634605.1
Chlamydia,caviae,GCF_000007605.1
Chlamydia,felis,GCF_000009945.1
Chlamydia,gallinacea,GCF_000471025.2
Chlamydia,ibidis,GCF_000454725.1
Chlamydia,muridarum,GCF_000006685.1
Chlamydia,pecorum,GCF_000204135.1
Chlamydia,pneumoniae,GCF_000008745.1
Chlamydia,psittaci,GCF_000204255.1
Chlamydia,sp,GCF_900239945.1
Chlamydia,suis,GCF_900169085.1
Chlamydia,trachomatis,GCF_000008725.1
