genus,species,accession
Giardia,intestinalis,GCA_000002435.2
Giardia,intestinalis,GCA_000182405.1
Giardia,intestinalis,GCA_000182665.1
Giardia,intestinalis,GCA_000498715.1
Giardia,intestinalis,GCA_000498735.1
Giardia,intestinalis,GCA_001493575.1
Giardia,intestinalis,GCA_001543975.1
Giardia,intestinalis,GCA_009192805.1
Giardia,intestinalis,GCA_009192825.1
Giardia,intestinalis,GCA_902209425.1
Giardia,intestinalis,GCA_902221465.1
Giardia,intestinalis,GCA_902221485.1
Giardia,intestinalis,GCA_902221515.1
Giardia,intestinalis,GCA_902221535.1
Giardia,intestinalis,GCA_902221545.1
Giardia,lamblia,GCA_000182665.1
Giardia,muris,GCA_006247105.1
Spironucleus,salmonicida,GCA_000497125
