genus,species,accession
Angomonas,deanei,GCA_001659865.1
Angomonas,desouzai,GCA_000482185.1
Bodo,saltans,GCA_001460835.1
Crithidia,acanthocephali,GCA_000482105.1
Crithidia,bombi,GCA_900240985.1
Crithidia,expoeki,GCA_900240875.1
Crithidia,fasciculata,GCA_000331325.2
Crithidia,mellificae,GCA_002216565.1
Endotrypanum,monterogeii,GCA_000333855.2
Herpetomonas,muscarum,GCA_000482205.1
Leishmania,aethiopica,GCA_000444285.2
Leishmania,amazonensis,GCA_005317125.1
Leishmania,arabica,GCA_000410695.2
Leishmania,braziliensis,GCF_000002845.2
Leishmania,donovani,GCF_000227135.1
Leishmania,enriettii,GCA_000410755.2
Leishmania,gerbilli,GCA_000443025.1
Leishmania,infantum,GCF_000002875.2
Leishmania,lainsoni,GCA_003664395.1
Leishmania,major,GCF_000002725.2
Leishmania,mexicana,GCF_000234665.1
Leishmania,panamensis,GCF_000755165.1
Leishmania,peruviana,GCA_001403675.1
Leishmania,sp,GCA_000409445.2
Leishmania,tarentolae,GCA_009731335.1
Leishmania,tropica,GCA_000410715.1
Leishmania,turanica,GCA_000441995.1
Leptomonas,pyrrhocoris,GCF_001293395.1
Leptomonas,seymouri,GCA_001299535.1
Lotmaria,passim,GCA_000635995.1
Paratrypanosoma,confusum,GCA_002921335.1
Perkinsela,sp,GCA_001235845.1
Phytomonas,francai,GCA_001766655.1
Phytomonas,serpens,GCA_000331125.1
Phytomonas,sp,GCA_000582765.1
Strigomonas,culicis,GCA_000482145.1
Strigomonas,galati,GCA_000482125.1
Strigomonas,oncopelti,GCA_000482165.1
Trypanosoma,brucei,GCF_000210295.1
Trypanosoma,congolense,GCA_002287245.1
Trypanosoma,conorhini,GCF_003719485.1
Trypanosoma,cruzi,GCF_000209065.1
Trypanosoma,equiperdum,GCA_001457755.2
Trypanosoma,grayi,GCF_000691245.1
Trypanosoma,rangeli,GCF_003719475.1
Trypanosoma,theileri,GCF_002087225.1
Trypanosoma,vivax,GCA_000227375.1
Trypanosomatidae,sp,GCA_003671325.1
