genus,species,accession
Listeria,aquatica,GCF_000525795.1
Listeria,booriae,GCF_000766865.1
Listeria,cornellensis,GCF_000525855.1
Listeria,costaricensis,GCF_900183385.1
Listeria,fleischmannii,GCF_000252625.1
Listeria,floridensis,GCF_000525875.1
Listeria,goaensis,GCF_900186125.1
Listeria,grandensis,GCF_000525835.1
Listeria,grayi,GCF_000148995.1
Listeria,innocua,GCF_000195795.1
Listeria,ivanovii,GCF_900637745.1
Listeria,kieliensis,GCF_003369925.1
Listeria,marthii,GCF_000183865.1
Listeria,monocytogenes,GCF_000196035.1
Listeria,newyorkensis,GCF_900461625.1
Listeria,riparia,GCF_000525995.1
Listeria,rocourtiae,GCF_000525975.1
Listeria,seeligeri,GCF_000027145.1
Listeria,sp,GCF_003856515.1
Listeria,thailandensis,GCF_900576925.1
Listeria,weihenstephanensis,GCF_000525955.1
Listeria,welshimeri,GCF_900187315.1
