genus,species,accession
Acrobeloides,nanus,GCA_900406225.1
Bursaphelenchus,xylophilus,GCA_004128815.1
Deladenus,siricidicola,GCA_009724625.1
Ditylenchus,destructor,GCA_001579705.1
Ditylenchus,dipsaci,GCA_004194705.1
Globodera,ellingtonae,GCA_001723225.1
Globodera,pallida,GCA_000724045.1
Globodera,rostochiensis,GCA_900079975.1
Halicephalobus,mephisto,GCA_009193035.1
Halicephalobus,sp,GCA_009761265.1
Heterodera,glycines,GCA_004148225.1
Heterorhabditis,bacteriophora,GCA_000223415.1
Meloidogyne,arenaria,GCA_003133805.1
Meloidogyne,enterolobii,GCA_003693675.1
Meloidogyne,floridensis,GCA_003693605.1
Meloidogyne,graminicola,GCA_002778205.1
Meloidogyne,hapla,GCA_000172435.1
Meloidogyne,incognita,GCA_900182535.1
Meloidogyne,javanica,GCA_003693625.1
Meloidogyne,luci,GCA_902706615.1
Panagrellus,redivivus,GCA_000341325.1
Panagrolaimus,davidi,GCA_901779475.1
Panagrolaimus,sp,GCA_901766855.1
Panagrolaimus,superbus,GCA_901766145.1
Radopholus,similis,GCA_004764675.1
Rotylenchulus,reniformis,GCA_001026735.1
Steinernema,carpocapsae,GCA_000757645.3
Steinernema,feltiae,GCA_007213375.1
Steinernema,glaseri,GCA_000757755.1
Steinernema,monticolum,GCA_000505645.1
Steinernema,scapterisci,GCA_000757745.1
Strongylus,vulgaris,GCA_900624965.1
Subanguina,moxae,GCA_000981365.1
