genus,species,accession
Ancylostoma,caninum,GCA_003336725.1
Ancylostoma,ceylanicum,GCA_000688135.1
Ancylostoma,duodenale,GCA_000816745.1
Angiostrongylus,cantonensis,GCA_009735665.1
Angiostrongylus,costaricensis,GCA_900624975.1
Caenorhabditis,angaria,GCA_000165025.1
Caenorhabditis,becei,GCA_900536315.3
Caenorhabditis,bovis,GCA_902636285.1
Caenorhabditis,brenneri,GCA_000143925.2
Caenorhabditis,briggsae,GCA_000004555.3
Caenorhabditis,elegans,GCF_000002985.6
Caenorhabditis,inopinata,GCA_003052745.1
Caenorhabditis,japonica,GCA_000147155.1
Caenorhabditis,latens,GCA_002259235.1
Caenorhabditis,nigoni,GCA_002742825.1
Caenorhabditis,panamensis,GCA_900536275.1
Caenorhabditis,remanei,GCF_000149515.1
Caenorhabditis,sp,GCA_900536305.3
Caenorhabditis,tropicalis,GCA_000186765.1
Cylicostephanus,goldi,GCA_900617965.1
Dictyocaulus,viviparus,GCA_000816705.1
Diploscapter,coronatus,GCA_002207785.1
Diploscapter,pachys,GCA_002287525.1
Haemonchus,contortus,GCA_007637855.2
Haemonchus,placei,GCA_900617895.1
Heligmosomoides,polygyrus,GCA_900096555.1
Heterorhabditis,bacteriophora,GCA_000223415.1
Mesorhabditis,belari,GCA_900631915.1
Micoletzkya,japonica,GCA_900490955.1
Necator,americanus,GCF_000507365.1
Nippostrongylus,brasiliensis,GCA_900200055.1
Oesophagostomum,dentatum,GCA_000797555.1
Oscheius,sp,GCA_000934875.1
Oscheius,tipulae,GCA_900184235.1
Parapristionchus,giblindavisi,GCA_900491355.1
Pristionchus,arcanus,GCA_900490705.1
Pristionchus,entomophagus,GCA_900490825.1
Pristionchus,exspctatus,GCA_900380275.1
Pristionchus,fissidentatus,GCA_900490895.1
Pristionchus,japonicus,GCA_900490845.1
Pristionchus,maxplancki,GCA_900490775.1
Pristionchus,mayeri,GCA_900490875.1
Pristionchus,pacificus,GCA_000180635.3
Rhabditida,sp,GCA_004026265.1
Strongylus,vulgaris,GCA_900624965.1
Teladorsagia,circumcincta,GCA_002352805.1
