genus,species,accession
Streptococcus,acidominimus,GCF_900187245.1
Streptococcus,agalactiae,GCF_000007265.1
Streptococcus,alactolyticus,GCF_009695625.1
Streptococcus,anginosus,GCF_000463505.1
Streptococcus,australis,GCF_900476055.1
Streptococcus,azizii,GCF_001984715.1
Streptococcus,bovimastitidis,GCF_001885095.1
Streptococcus,caballi,GCF_000379985.1
Streptococcus,canis,GCF_900636575.1
Streptococcus,castoreus,GCF_000425025.1
Streptococcus,constellatus,GCF_000463425.1
Streptococcus,criceti,GCF_000187975.2
Streptococcus,cristatus,GCF_000385925.1
Streptococcus,cuniculi,GCF_001921845.1
Streptococcus,danieliae,GCF_009767945.1
Streptococcus,devriesei,GCF_000423725.1
Streptococcus,didelphis,GCF_000380005.1
Streptococcus,downei,GCF_900459175.1
Streptococcus,dysgalactiae,GCF_000317855.1
Streptococcus,entericus,GCF_000380025.1
Streptococcus,equi,GCF_000026605.1
Streptococcus,equinus,GCF_000964315.1
Streptococcus,ferus,GCF_000372425.1
Streptococcus,gallolyticus,GCF_002000985.1
Streptococcus,gordonii,GCF_000017005.1
Streptococcus,halichoeri,GCF_009870755.1
Streptococcus,halitosis,GCF_003143695.2
Streptococcus,halotolerans,GCF_001598035.1
Streptococcus,henryi,GCF_000376985.1
Streptococcus,himalayensis,GCF_001708305.1
Streptococcus,hongkongensis,GCF_000785845.1
Streptococcus,hyointestinalis,GCF_900459405.1
Streptococcus,hyovaginalis,GCF_000420785.1
Streptococcus,ictaluri,GCF_000188015.2
Streptococcus,infantarius,GCF_000246835.1
Streptococcus,infantis,GCF_000187465.1
Streptococcus,iniae,GCF_000831485.1
Streptococcus,intermedius,GCF_000463355.1
Streptococcus,lutetiensis,GCF_900475675.1
Streptococcus,macacae,GCF_000187995.2
Streptococcus,macedonicus,GCF_000283635.1
Streptococcus,marimammalium,GCF_000380045.1
Streptococcus,marmotae,GCF_001623565.1
Streptococcus,massiliensis,GCF_000380065.1
Streptococcus,merionis,GCF_000380085.1
Streptococcus,milleri,GCF_900636715.1
Streptococcus,minor,GCF_000377005.1
Streptococcus,mitis,GCF_000027165.1
Streptococcus,mutans,GCF_000007465.2
Streptococcus,oralis,GCF_900637025.1
Streptococcus,orisasini,GCF_001431045.1
Streptococcus,orisratti,GCF_000380105.1
Streptococcus,ovis,GCF_000380125.1
Streptococcus,pantholopis,GCF_001642085.1
Streptococcus,parasanguinis,GCF_000164675.2
Streptococcus,parasuis,GCF_004283785.1
Streptococcus,parauberis,GCF_000213825.1
Streptococcus,pasteurianus,GCF_900478025.1
Streptococcus,penaeicida,GCF_002887775.1
Streptococcus,peroris,GCF_000187585.1
Streptococcus,pharyngis,GCF_007859195.1
Streptococcus,phocae,GCF_000772915.1
Streptococcus,pluranimalium,GCF_003352995.1
Streptococcus,plurextorum,GCF_000423745.1
Streptococcus,pneumoniae,GCF_000007045.1
Streptococcus,porci,GCF_000423765.1
Streptococcus,porcinus,GCF_900475415.1
Streptococcus,pseudopneumoniae,GCF_000221985.1
Streptococcus,pseudoporcinus,GCF_000188035.1
Streptococcus,pyogenes,GCF_000006785.2
Streptococcus,ratti,GCF_000286075.1
Streptococcus,respraculi,GCF_003595525.1
Streptococcus,rubneri,GCF_004785935.1
Streptococcus,ruminantium,GCF_003609975.1
Streptococcus,salivarius,GCF_000785515.1
Streptococcus,sanguinis,GCF_000014205.1
Streptococcus,sinensis,GCF_000767835.1
Streptococcus,sobrinus,GCF_000686605.1
Streptococcus,sp,GCF_003086355.1
Streptococcus,suis,GCF_000026745.1
Streptococcus,thermophilus,GCF_000253395.1
Streptococcus,thoraltensis,GCF_000380145.1
Streptococcus,timonensis,GCF_900095845.1
Streptococcus,troglodytae,GCF_002355215.1
Streptococcus,uberis,GCF_000009545.1
Streptococcus,urinalis,GCF_000188055.2
Streptococcus,varani,GCF_001375655.1
Streptococcus,vestibularis,GCF_900636445.1
Streptococcus,viridans,GCF_900636365.1
