genus,species,accession
Bullera,alba,GCA_001600095.1
Cryptococcus,amylolentus,GCF_001720205.1
Cryptococcus,depauperatus,GCA_001720245.1
Cryptococcus,floricola,GCA_006352305.1
Cryptococcus,gattii,GCF_000185945.1
Cryptococcus,neoformans,GCF_000091045.1
Cryptococcus,sp,GCA_001600855.1
Cryptococcus,wingfieldii,GCF_001720155.1
Dioszegia,aurantiaca,GCA_001600655.1
Dioszegia,crocea,GCA_001600615.1
Kockovaella,imperatae,GCF_002102565.1
Kwoniella,bestiolae,GCF_000512585.1
Kwoniella,dejecticola,GCF_000512565.1
Kwoniella,heveanensis,GCA_000507405.3
Kwoniella,mangrovensis,GCF_000507465.1
Kwoniella,pini,GCF_000512605.1
Kwoniella,shandongensis,GCF_008629635.1
Naematelia,encephala,GCA_002105065.1
Papiliotrema,flavescens,GCA_000442785.1
Papiliotrema,laurentii,GCA_000738825.1
Phaeotremella,fagi,GCA_001599715.1
Phaeotremella,skinneri,GCA_001599695.1
Saitozyma,podzolica,GCA_003942215.1
Tremella,fuciformis,GCA_000987905.1
Tremella,mesenterica,GCF_000271645.1
