genus,species,accession
Yersinia,aldovae,GCF_000834395.1
Yersinia,aleksiciae,GCF_001047675.1
Yersinia,bercovieri,GCF_000167975.1
Yersinia,canariae,GCF_009831415.1
Yersinia,enterocolitica,GCF_000009345.1
Yersinia,entomophaga,GCF_001656035.1
Yersinia,frederiksenii,GCF_002591095.1
Yersinia,hibernica,GCF_004124235.1
Yersinia,intermedia,GCF_900635455.1
Yersinia,kristensenii,GCF_000834865.1
Yersinia,massiliensis,GCF_003048255.1
Yersinia,mollaretii,GCF_000167995.1
Yersinia,nurmii,GCF_001112925.1
Yersinia,pekkanenii,GCF_001244635.1
Yersinia,pestis,GCF_000009065.1
Yersinia,pseudotuberculosis,GCF_900637475.1
Yersinia,rohdei,GCF_000834455.1
Yersinia,ruckeri,GCF_000964565.1
Yersinia,similis,GCF_000582515.1
Yersinia,sp,GCF_002073315.2
Yersinia,wautersii,GCF_000493415.1
