genus,species,accession
Leptospira,adleri,GCF_002811985.1
Leptospira,alexanderi,GCF_000243815.2
Leptospira,alstonii,GCF_000347175.1
Leptospira,andrefontaineae,GCF_004770105.1
Leptospira,bandrabouensis,GCF_004770905.1
Leptospira,barantonii,GCF_002811925.1
Leptospira,biflexa,GCF_000017685.1
Leptospira,borgpetersenii,GCF_000013945.1
Leptospira,bourretii,GCF_004769285.1
Leptospira,bouyouniensis,GCF_004770625.1
Leptospira,brenneri,GCF_002812125.1
Leptospira,broomii,GCF_000243715.2
Leptospira,congkakensis,GCF_004770265.1
Leptospira,dzianensis,GCF_004770135.1
Leptospira,dzoumogneensis,GCF_004770895.1
Leptospira,ellinghausenii,GCF_003114815.1
Leptospira,elllisii,GCF_002811955.1
Leptospira,fainei,GCF_000306235.2
Leptospira,fletcheri,GCF_004769195.1
Leptospira,fluminis,GCF_004771275.1
Leptospira,gomenensis,GCF_004770155.1
Leptospira,haakeii,GCF_002812045.1
Leptospira,harrisiae,GCF_002811945.1
Leptospira,hartskeerlii,GCF_002811475.1
Leptospira,idonii,GCF_004770995.1
Leptospira,ilyithenensis,GCF_004771005.1
Leptospira,inadai,GCF_000243675.2
Leptospira,interrogans,GCF_000092565.1
Leptospira,jelokensis,GCF_004769775.1
Leptospira,johnsonii,GCF_003112675.1
Leptospira,kanakyensis,GCF_004769235.1
Leptospira,kemamanensis,GCF_004769665.1
Leptospira,kirschneri,GCF_000243695.2
Leptospira,kmetyi,GCF_000243735.2
Leptospira,kobayashii,GCF_003114835.1
Leptospira,koniamboensis,GCF_004769555.1
Leptospira,langatensis,GCF_004770615.1
Leptospira,levettii,GCF_002812085.1
Leptospira,licerasiae,GCF_000244755.1
Leptospira,macculloughii,GCF_002811975.1
Leptospira,mayottensis,GCF_000306675.2
Leptospira,meyeri,GCF_000304275.1
Leptospira,montravelensis,GCF_004769455.1
Leptospira,mtsangambouensis,GCF_004770475.1
Leptospira,neocaledonica,GCF_002812205.1
Leptospira,noguchii,GCF_000306255.2
Leptospira,noumeaensis,GCF_004770765.1
Leptospira,ognonensis,GCF_004770745.1
Leptospira,perdikensis,GCF_004769575.1
Leptospira,perolatii,GCF_002811875.1
Leptospira,putramalaysiae,GCF_004770035.1
Leptospira,ryugenii,GCF_003114855.1
Leptospira,saintgironsiae,GCF_002811765.1
Leptospira,santarosai,GCF_000313175.2
Leptospira,sarikeiensis,GCF_004769615.1
Leptospira,selangorensis,GCF_004769405.1
Leptospira,semungkisensis,GCF_004770055.1
Leptospira,sp,GCF_000347035.1
Leptospira,stimsonii,GCF_003545885.1
Leptospira,terpstrae,GCF_000332495.1
Leptospira,tipperaryensis,GCF_001729245.1
Leptospira,vanthielii,GCF_000332455.1
Leptospira,venezuelensis,GCF_002150035.1
Leptospira,weilii,GCF_000244815.1
Leptospira,wolbachii,GCF_000332515.2
Leptospira,wolffii,GCF_000306115.2
Leptospira,yanagawae,GCF_000332475.2
Leptospira,yasudae,GCF_003545925.1
