genus,species,accession
Acomys,dimidiatus,GCA_907164435.1
Ailuropoda,melanoleuca,GCF_002007445.1
Antechinus,flavipes,GCA_016432865.1
Arvicanthis,niloticus,GCF_011762505.1
Arvicola,amphibius,GCF_903992535.2
Balaenoptera,musculus,GCF_009873245.2
Bos,taurus,GCF_002263795.1
Bubalus,bubalis,GCF_003121395.1
Callithrix,jacchus,GCF_009663435.1
Camelus,dromedarius,GCF_000803125.2
Canis,lupus,GCA_905319855.2
Capra,aegagrus,GCA_000978405.1
Cervus,canadensis,GCF_019320065.1
Choloepus,didactylus,GCF_015220235.1
Dromiciops,gliroides,GCF_019393635.1
Equus,caballus,GCF_002863925.1
Felis,catus,GCF_000181335.3
Giraffa,tippelskirchi,GCA_013496395.1
Gorilla,gorilla,GCF_008122165.1
Gracilinanus,agilis,GCA_016433145.1
Homo,sapiens,GCF_000001405.39
Hydropotes,inermis,GCA_020226075.1
Ictidomys,tridecemlineatus,GCF_016881025.1
Lepus,timidus,GCA_009760805.1
Lutra,lutra,GCA_902655055.2
Lynx,canadensis,GCF_007474595.2
Macaca,fascicularis,GCF_000364345.1
Mastomys,coucha,GCF_008632895.1
Microcebus,murinus,GCF_000165445.2
Microtus,ochrogaster,GCF_000317375.1
Monodelphis,domestica,GCF_000002295.2
Muntiacus,muntjak,GCA_008782695.1
Mus,musculus,GCF_000001635.27
Mustela,erminea,GCF_009829155.1
Nasalis,larvatus,GCA_000772465.1
Neovison,vison,GCA_020171115.1
Nomascus,leucogenys,GCF_006542625.1
Ochotona,princeps,GCF_014633375.1
Onychomys,torridus,GCF_903995425.1
Ornithorhynchus,anatinus,GCF_004115215.2
Oryctolagus,cuniculus,GCF_000003625.3
Ovis,aries,GCF_016772045.1
Pan,troglodytes,GCF_002880755.1
Panthera,leo,GCF_018350215.1
Papio,anubis,GCF_008728515.1
Peromyscus,leucopus,GCF_004664715.2
Phacochoerus,africanus,GCA_016906955.1
Phocoena,sinus,GCF_008692025.1
Phyllostomus,discolor,GCF_004126475.2
Physeter,catodon,GCF_002837175.2
Piliocolobus,tephrosceles,GCF_002776525.3
Pipistrellus,pipistrellus,GCA_903992545.1
Pongo,abelii,GCF_002880775.1
Prionailurus,bengalensis,GCF_016509475.1
Rattus,rattus,GCF_011064425.1
Rhinolophus,ferrumequinum,GCF_004115265.1
Rhinopithecus,roxellana,GCF_007565055.1
Sarcophilus,harrisii,GCF_902635505.1
Sciurus,carolinensis,GCA_902686445.2
Suricata,suricatta,GCF_006229205.1
Sus,scrofa,GCF_000003025.6
Sylvilagus,bachmani,GCA_015711505.1
Tachyglossus,aculeatus,GCF_015852505.1
Theropithecus,gelada,GCF_003255815.1
Tursiops,truncatus,GCF_011762595.1
Vulpes,lagopus,GCF_018345385.1
Zalophus,californianus,GCF_009762305.2
