genus,species,accession
Acanthocheilonema,viteae,GCA_900537255.1
Anisakis,simplex,GCA_900617985.1
Ascaris,suum,GCA_000187025.3
Baylisascaris,schroederi,GCA_006503575.1
Brugia,malayi,GCA_000002995.5
Brugia,pahangi,GCA_001280985.1
Brugia,timori,GCA_900618025.1
Dirofilaria,immitis,GCA_009829315.1
Dirofilaria,repens,GCA_008729115.1
Dracunculus,medinensis,GCA_900625125.1
Elaeophora,elaphi,GCA_000499685.1
Enterobius,vermicularis,GCA_900576705.1
Gongylonema,pulchrum,GCA_900617915.1
Litomosoides,sigmodontis,GCA_900537275.1
Loa,loa,GCF_000183805.2
Onchocerca,flexuosa,GCA_002249935.1
Onchocerca,ochengi,GCA_000950515.2
Onchocerca,volvulus,GCA_000499405.2
Parascaris,univalens,GCA_002259215.1
Plectus,murrayi,GCA_004785735.1
Plectus,sambesii,GCA_002796945.1
Thelazia,callipaeda,GCA_900618365.1
Toxocara,canis,GCA_000803305.1
Wuchereria,bancrofti,GCA_005281725.1
