genus,species,accession
Amauroascus,mutatus,GCA_001430935.1
Amauroascus,niger,GCA_001430945.1
Ascospaera,apis,GCA_001636715.1
Blastomyces,dermatitidis,GCA_000003525.2
Blastomyces,gilchristii,GCF_000003855.2
Blastomyces,parvus,GCA_002572885.1
Blastomyces,percursus,GCA_003206225.1
Blastomyces,silverae,GCA_001014755.1
Blastomyces,sp,GCA_003206725.1
Byssoonygena,ceratinophila,GCA_001430925.1
Chrysosprium,queenslandicum,GCA_001430955.1
Coccidioides,immitis,GCF_000149335.2
Coccidioides,posadasii,GCF_000151335.2
Emergomyces,orientalis,GCA_002110485.1
Emergomyces,pasteurianus,GCA_001883825.1
Emmonsia,crescens,GCA_002572855.1
Emmonsia,sp,GCA_001660665.1
Helicocarpus,griseus,GCA_002573585.1
Histoplasma,capsulatum,GCF_000149585.1
Malbranchea,cinnamomea,GCA_900128795.2
Microsprum,canis,GCF_000151145.1
Nannizzia,gypsea,GCF_000150975.2
Onygena,corvina,GCA_000812245.1
Ophidiomyces,ophiodiicola,GCA_002167195.1
Paracoccidioides,brasiliensis,GCF_000150735.1
Paracoccidioides,lutzii,GCF_000150705.2
Polytolypa,hystricis,GCA_002573605.1
Trichophyton,benhamiae,GCF_000151125.1
Trichophyton,equinum,GCA_000151175.1
Trichophyton,interdigitale,GCA_000622975.1
Trichophyton,mentagrophytes,GCA_003664465.1
Trichophyton,rubrum,GCF_000151425.1
Trichophyton,soudanense,GCA_000616865.1
Trichophyton,tonsurans,GCA_000151455.1
Trichophyton,verrucosum,GCF_000151505.1
Trichophyton,violaceum,GCA_001651435.1
Uncinocarpus,reesii,GCF_000003515.1
