genus,species,accession
Rickettsia,aeschlimannii,GCF_001051325.1
Rickettsia,africae,GCF_000023005.1
Rickettsia,akari,GCF_000018205.1
Rickettsia,amblyommatis,GCF_001273795.1
Rickettsia,argasii,GCF_000965185.1
Rickettsia,asembonensis,GCF_000828125.2
Rickettsia,asiatica,GCF_007989425.1
Rickettsia,australis,GCF_000284155.1
Rickettsia,bellii,GCF_000012385.1
Rickettsia,buchneri,GCF_000696365.1
Rickettsia,canadensis,GCF_000014345.1
Rickettsia,conorii,GCF_000007025.1
Rickettsia,endosymbiont,GCF_002285905.1
Rickettsia,felis,GCF_000012145.1
Rickettsia,fournieri,GCF_900243065.1
Rickettsia,gravesii,GCF_000485845.1
Rickettsia,heilongjiangensis,GCF_000221205.1
Rickettsia,helvetica,GCF_000255355.1
Rickettsia,honei,GCF_000263055.1
Rickettsia,hoogstraalii,GCF_000825685.1
Rickettsia,japonica,GCF_000283595.1
Rickettsia,massiliae,GCF_000016625.1
Rickettsia,monacensis,GCF_000499665.2
Rickettsia,montanensis,GCF_000284175.1
Rickettsia,parkeri,GCF_005549115.1
Rickettsia,peacockii,GCF_000021525.1
Rickettsia,philipii,GCF_000283995.1
Rickettsia,prowazekii,GCF_000195735.1
Rickettsia,raoultii,GCF_001975185.1
Rickettsia,rhipicephali,GCF_000284075.1
Rickettsia,rickettsii,GCF_001951015.1
Rickettsia,sibirica,GCF_000166935.1
Rickettsia,slovaca,GCF_000237845.1
Rickettsia,sp,GCF_001653015.1
Rickettsia,tamurae,GCF_000751075.1
Rickettsia,typhi,GCF_000008045.1
