genus,species,accession
Salmonella,bongori,GCF_000252995.1
Salmonella,bongori,GCF_002035475.1
Salmonella,bongori,GCA_003497195.1
Salmonella,bongori,GCF_902387725.1
Salmonella,bongori,GCA_003452365.1
Salmonella,bongori,GCF_900635485.1
Salmonella,bongori,GCF_002211925.1
Salmonella,bongori,GCF_000709535.1
Salmonella,bongori,GCA_003522735.1
Salmonella,bongori,GCF_002035285.1
Salmonella,arizonae,GCF_001951595.1
Salmonella,arizonae,GCF_001951445.1
Salmonella,arizonae,GCF_000018625.1
Salmonella,arizonae,GCF_001970905.1
Salmonella,diarizonae,GCF_002241435.2
Salmonella,diarizonae,GCF_001832255.1
Salmonella,diarizonae,GCF_002063885.1
Salmonella,diarizonae,GCF_002035715.1
Salmonella,enterica,GCF_009208155.1
Salmonella,enterica,GCF_005938475.1
Salmonella,enterica,GCF_001159405.1
Salmonella,enterica,GCF_002064535.1
Salmonella,houtenae,GCF_002047425.1
Salmonella,houtenae,GCF_002045905.1
Salmonella,houtenae,GCF_002127815.1
Salmonella,houtenae,GCF_002106115.1
Salmonella,indica,GCF_002066855.1
Salmonella,indica,GCF_002035225.1
Salmonella,indica,GCF_002066875.1
Salmonella,indica,GCF_002266165.1
Salmonella,salamae,GCF_002036105.1
Salmonella,salamae,GCF_900478195.1
Salmonella,salamae,GCF_003994675.1
Salmonella,salamae,GCF_002036155.1
