genus,species,accession
Clonorchis,sinensis,GCA_003604175.1
Dicrocoelium,dendriticum,GCA_000950715.1
Echinostoma,caproni,GCA_900618425.1
Fasciola,gigantica,GCA_006461475.1
Fasciola,hepatica,GCA_900302435.1
Fasciolopsis,buski,GCA_008360955.1
Opisthorchis,felineus,GCA_004794785.1
Opisthorchis,viverrini,GCF_000715545.1
Paragonimus,westermani,GCA_008508345.1
Schistosoma,bovis,GCA_003958945.1
Schistosoma,curassoni,GCA_900618015.1
Schistosoma,haematobium,GCF_000699445.1
Schistosoma,japonicum,GCA_006368765.1
Schistosoma,mansoni,GCA_000237925.3
Schistosoma,margrebowiei,GCA_900618395.1
Schistosoma,mattheei,GCA_900617995.1
Trichobilharzia,regenti,GCA_900618515.1
